1407.780us,0V
1407.781us,5V
1408.673us,5V
1408.674us,0V
1429.110us,0V
1429.111us,5V
1431.483us,5V
1431.484us,0V
1450.440us,0V
1450.441us,5V
1454.885us,5V
1454.886us,0V
1471.770us,0V
1471.771us,5V
1478.731us,5V
1478.732us,0V
1493.100us,0V
1493.101us,5V
1502.842us,5V
1502.843us,0V
1514.430us,0V
1514.431us,5V
1527.018us,5V
1527.019us,0V
1535.760us,0V
1535.761us,5V
1551.057us,5V
1551.058us,0V
1557.090us,0V
1557.091us,5V
1574.766us,5V
1574.767us,0V
1578.420us,0V
1578.421us,5V
1597.974us,5V
1597.975us,0V
1599.750us,0V
1599.751us,5V
1620.547us,5V
1620.548us,0V
1621.080us,0V
1621.081us,5V
1642.396us,5V
1642.397us,0V
1642.410us,0V
1642.411us,5V
1663.485us,5V
1663.486us,0V
1663.740us,0V
1663.741us,5V
1683.830us,5V
1683.831us,0V
1685.070us,0V
1685.071us,5V
1703.502us,5V
1703.503us,0V
1706.400us,0V
1706.401us,5V
1722.620us,5V
1722.621us,0V
1727.730us,0V
1727.731us,5V
1741.341us,5V
1741.342us,0V
1749.060us,0V
1749.061us,5V
1759.851us,5V
1759.852us,0V
1770.390us,0V
1770.391us,5V
1778.352us,5V
1778.353us,0V
1791.720us,0V
1791.721us,5V
1797.047us,5V
1797.048us,0V
1813.050us,0V
1813.051us,5V
1816.122us,5V
1816.123us,0V
1834.380us,0V
1834.381us,5V
1835.740us,5V
1835.741us,0V
1855.710us,0V
1855.711us,5V
1856.023us,5V
1856.024us,0V
1877.040us,0V
1877.041us,5V
1877.045us,5V
1877.046us,0V
1898.370us,0V
1898.371us,5V
1898.828us,5V
1898.829us,0V
1919.700us,0V
1919.701us,5V
1921.340us,5V
1921.341us,0V
1941.030us,0V
1941.031us,5V
1944.496us,5V
1944.497us,0V
1962.360us,0V
1962.361us,5V
1968.167us,5V
1968.168us,0V
1983.690us,0V
1983.691us,5V
1992.185us,5V
1992.186us,0V
2005.020us,0V
2005.021us,5V
2016.357us,5V
2016.358us,0V
2026.350us,0V
2026.351us,5V
2040.482us,5V
2040.483us,0V
2047.680us,0V
2047.681us,5V
2064.359us,5V
2064.360us,0V
2069.010us,0V
2069.011us,5V
2087.807us,5V
2087.808us,0V
2090.340us,0V
2090.341us,5V
2110.673us,5V
2110.674us,0V
2111.670us,0V
2111.671us,5V
2132.850us,5V
2132.851us,0V
2133.000us,0V
2133.001us,5V
2154.275us,5V
2154.276us,0V
2154.330us,0V
2154.331us,5V
2174.943us,5V
2174.944us,0V
2175.660us,0V
2175.661us,5V
2194.900us,5V
2194.901us,0V
2196.990us,0V
2196.991us,5V
2214.245us,5V
2214.246us,0V
2218.320us,0V
2218.321us,5V
2233.119us,5V
2233.120us,0V
2239.650us,0V
2239.651us,5V
2251.698us,5V
2251.699us,0V
2260.980us,0V
2260.981us,5V
2270.178us,5V
2270.179us,0V
2282.310us,0V
2282.311us,5V
2288.763us,5V
2288.764us,0V
2303.640us,0V
2303.641us,5V
2307.649us,5V
2307.650us,0V
2324.970us,0V
2324.971us,5V
2327.010us,5V
2327.011us,0V
2346.300us,0V
2346.301us,5V
2346.987us,5V
2346.988us,0V
2367.630us,0V
2367.631us,5V
2367.677us,5V
2367.678us,0V
2388.960us,0V
2388.961us,5V
2389.125us,5V
2389.126us,0V
2410.290us,0V
2410.291us,5V
2411.323us,5V
2411.324us,0V
2431.620us,0V
2431.621us,5V
2434.208us,5V
2434.209us,0V
2452.950us,0V
2452.951us,5V
2457.671us,5V
2457.672us,0V
2474.280us,0V
2474.281us,5V
2481.558us,5V
2481.559us,0V
2495.610us,0V
2495.611us,5V
2505.687us,5V
2505.688us,0V
2516.940us,0V
2516.941us,5V
2529.858us,5V
2529.859us,0V
2538.270us,0V
2538.271us,5V
2553.868us,5V
2553.869us,0V
2559.600us,0V
2559.601us,5V
2577.526us,5V
2577.527us,0V
2580.930us,0V
2580.931us,5V
2600.665us,5V
2600.666us,0V
2602.260us,0V
2602.261us,5V
2623.157us,5V
2623.158us,0V
2623.590us,0V
2623.591us,5V
2644.917us,5V
2644.918us,0V
2644.920us,0V
2644.921us,5V
2665.917us,5V
2665.918us,0V
2666.250us,0V
2666.251us,5V
2686.178us,5V
2686.179us,0V
2687.580us,0V
2687.581us,5V
2705.778us,5V
2705.779us,0V
2708.910us,0V
2708.911us,5V
2724.840us,5V
2724.841us,0V
2730.240us,0V
2730.241us,5V
2743.526us,5V
2743.527us,0V
2751.570us,0V
2751.571us,5V
2762.025us,5V
2762.026us,0V
2772.900us,0V
2772.901us,5V
2780.538us,5V
2780.539us,0V
