1108.910us,5V
1109.160us,5V
1117.490us,0V
1122.114us,0V
1130.444us,5V
1130.490us,5V
1138.820us,0V
1143.484us,0V
1151.814us,5V
1151.820us,5V
1160.150us,0V
1164.689us,0V
1173.019us,5V
1173.150us,5V
1181.480us,0V
1185.735us,0V
1194.065us,5V
1194.480us,5V
1202.810us,0V
1206.645us,0V
1214.975us,5V
1215.810us,5V
1224.140us,0V
1227.448us,0V
1235.778us,5V
1237.140us,5V
1245.470us,0V
1248.181us,0V
1256.511us,5V
1258.470us,5V
1266.800us,0V
1268.887us,0V
1277.217us,5V
1279.800us,5V
1288.130us,0V
1289.611us,0V
1297.941us,5V
1301.130us,5V
1309.460us,0V
1310.396us,0V
1318.726us,5V
1322.460us,5V
1330.790us,0V
1331.281us,0V
1339.611us,5V
1343.790us,5V
1352.120us,0V
1352.297us,0V
1360.627us,5V
1365.120us,5V
1373.450us,0V
1373.468us,0V
1381.798us,5V
1386.450us,5V
1394.780us,0V
1394.804us,0V
1403.134us,5V
1407.780us,5V
1416.110us,0V
1416.305us,0V
1424.635us,5V
1429.110us,5V
1437.440us,0V
1437.959us,0V
1446.289us,5V
1450.440us,5V
1458.770us,0V
1459.743us,0V
1468.073us,5V
1471.770us,5V
1480.100us,0V
1481.624us,0V
1489.954us,5V
1493.100us,5V
1501.430us,0V
1503.563us,0V
1511.893us,5V
1514.430us,5V
1522.760us,0V
1525.516us,0V
1533.846us,5V
1535.760us,5V
1544.090us,0V
1547.439us,0V
1555.769us,5V
1557.090us,5V
1565.420us,0V
1569.290us,0V
1577.620us,5V
1578.420us,5V
1586.750us,0V
1591.031us,0V
1599.361us,5V
1599.750us,5V
1608.080us,0V
1612.633us,0V
1620.963us,5V
1621.080us,5V
1629.410us,0V
1634.077us,0V
1642.407us,5V
1642.410us,5V
1650.740us,0V
1655.354us,0V
1663.684us,5V
1663.740us,5V
1672.070us,0V
1676.469us,0V
1684.799us,5V
1685.070us,5V
1693.400us,0V
1697.436us,0V
1705.766us,5V
1706.400us,5V
1714.730us,0V
1718.281us,0V
1726.611us,5V
1727.730us,5V
1736.060us,0V
1739.040us,0V
1747.370us,5V
1749.060us,5V
1757.390us,0V
1759.753us,0V
1768.083us,5V
