2294.150us,5V
2294.151us,0V
2324.800us,0V
2324.801us,5V
2326.800us,5V
2326.801us,0V
2357.333us,0V
2357.334us,5V
2359.333us,5V
2359.334us,0V
2389.750us,0V
2389.751us,5V
2391.750us,5V
2391.751us,0V
2422.050us,0V
2422.051us,5V
2424.050us,5V
2424.051us,0V
2454.233us,0V
2454.234us,5V
2456.233us,5V
2456.234us,0V
2486.300us,0V
2486.301us,5V
2488.300us,5V
2488.301us,0V
2518.250us,0V
2518.251us,5V
2520.250us,5V
2520.251us,0V
2550.083us,0V
2550.084us,5V
2552.083us,5V
2552.084us,0V
2581.800us,0V
2581.801us,5V
2583.800us,5V
2583.801us,0V
2613.400us,0V
2613.401us,5V
2615.400us,5V
2615.401us,0V
2644.883us,0V
2644.884us,5V
2646.883us,5V
2646.884us,0V
2676.250us,0V
2676.251us,5V
2678.250us,5V
2678.251us,0V
2707.500us,0V
2707.501us,5V
2709.500us,5V
2709.501us,0V
2738.633us,0V
2738.634us,5V
2740.633us,5V
2740.634us,0V
2769.650us,0V
2769.651us,5V
2771.650us,5V
2771.651us,0V
2800.550us,0V
2800.551us,5V
2802.550us,5V
2802.551us,0V
2831.333us,0V
2831.334us,5V
2833.333us,5V
2833.334us,0V
2862.000us,0V
2862.001us,5V
2864.000us,5V
2864.001us,0V
2892.550us,0V
2892.551us,5V
2894.550us,5V
2894.551us,0V
2922.983us,0V
2922.984us,5V
2924.983us,5V
2924.984us,0V
2953.300us,0V
2953.301us,5V
2955.300us,5V
2955.301us,0V
2983.500us,0V
2983.501us,5V
2985.500us,5V
2985.501us,0V
3013.583us,0V
3013.584us,5V
3015.583us,5V
3015.584us,0V
3043.550us,0V
3043.551us,5V
3045.550us,5V
3045.551us,0V
3073.400us,0V
3073.401us,5V
3075.400us,5V
3075.401us,0V
3103.133us,0V
3103.134us,5V
3105.133us,5V
3105.134us,0V
3132.750us,0V
3132.751us,5V
3134.750us,5V
3134.751us,0V
3162.250us,0V
3162.251us,5V
3164.250us,5V
3164.251us,0V
3191.633us,0V
3191.634us,5V
3193.633us,5V
3193.634us,0V
3220.900us,0V
3220.901us,5V
3222.900us,5V
3222.901us,0V
3250.050us,0V
3250.051us,5V
3252.050us,5V
3252.051us,0V
3279.083us,0V
3279.084us,5V
3281.083us,5V
3281.084us,0V
3308.000us,0V
3308.001us,5V
3310.000us,5V
3310.001us,0V
3336.800us,0V
3336.801us,5V
3338.800us,5V
3338.801us,0V
3365.483us,0V
3365.484us,5V
3367.483us,5V
3367.484us,0V
3394.050us,0V
3394.051us,5V
3396.050us,5V
3396.051us,0V
3422.500us,0V
3422.501us,5V
3424.500us,5V
3424.501us,0V
3450.833us,0V
3450.834us,5V
3452.833us,5V
3452.834us,0V
3479.050us,0V
3479.051us,5V
3481.050us,5V
3481.051us,0V
3507.150us,0V
3507.151us,5V
3509.150us,5V
3509.151us,0V
3535.133us,0V
3535.134us,5V
3537.133us,5V
3537.134us,0V
3563.000us,0V
3563.001us,5V
3565.000us,5V
3565.001us,0V
3590.750us,0V
3590.751us,5V
3592.750us,5V
3592.751us,0V
3618.383us,0V
3618.384us,5V
3620.383us,5V
3620.384us,0V
3645.900us,0V
3645.901us,5V
3647.900us,5V
3647.901us,0V
3673.300us,0V
3673.301us,5V
3675.300us,5V
3675.301us,0V
3700.583us,0V
3700.584us,5V
3702.583us,5V
3702.584us,0V
3727.750us,0V
3727.751us,5V
3729.750us,5V
3729.751us,0V
3754.800us,0V
3754.801us,5V
3756.800us,5V
3756.801us,0V
3781.733us,0V
3781.734us,5V
3783.733us,5V
3783.734us,0V
3808.550us,0V
3808.551us,5V
3810.550us,5V
3810.551us,0V
3835.250us,0V
3835.251us,5V
3837.250us,5V
3837.251us,0V
3861.833us,0V
3861.834us,5V
3863.833us,5V
3863.834us,0V
3888.300us,0V
3888.301us,5V
3890.300us,5V
3890.301us,0V
3914.650us,0V
3914.651us,5V
3916.650us,5V
3916.651us,0V
3940.883us,0V
3940.884us,5V
3942.883us,5V
3942.884us,0V
3967.000us,0V
3967.001us,5V
3969.000us,5V
3969.001us,0V
3993.000us,0V
3993.001us,5V
3995.000us,5V
3995.001us,0V
4018.883us,0V
4018.884us,5V
4020.883us,5V
4020.884us,0V
4044.650us,0V
4044.651us,5V
4046.650us,5V
4046.651us,0V
4070.300us,0V
4070.301us,5V
4072.300us,5V
4072.301us,0V
4095.833us,0V
4095.834us,5V
4097.833us,5V
4097.834us,0V
4121.250us,0V
4121.251us,5V
4123.250us,5V
4123.251us,0V
4146.550us,0V
4146.551us,5V
4148.550us,5V
4148.551us,0V
4171.733us,0V
4171.734us,5V
