1661.865us,5V
1663.525us,0V
1663.740us,0V
1665.400us,5V
1682.364us,5V
1684.024us,0V
1685.070us,0V
1686.730us,5V
1702.294us,5V
1703.954us,0V
1706.400us,0V
1708.060us,5V
1721.756us,5V
1723.416us,0V
1727.730us,0V
1729.390us,5V
1740.882us,5V
1742.542us,0V
1749.060us,0V
1750.720us,5V
1759.831us,5V
1761.491us,0V
1770.390us,0V
1772.050us,5V
1778.773us,5V
1780.433us,0V
1791.720us,0V
1793.380us,5V
1797.877us,5V
1799.537us,0V
1813.050us,0V
1814.710us,5V
1817.304us,5V
1818.964us,0V
1834.380us,0V
1836.040us,5V
1837.188us,5V
1838.848us,0V
1855.710us,0V
1857.370us,5V
1857.633us,5V
1859.293us,0V
1877.040us,0V
1878.700us,5V
1878.703us,5V
1880.363us,0V
1898.370us,0V
1900.030us,5V
1900.416us,5V
1902.076us,0V
1919.700us,0V
1921.360us,5V
1922.744us,5V
1924.404us,0V
1941.030us,0V
1942.690us,5V
1945.616us,5V
1947.276us,0V
1962.360us,0V
1964.020us,5V
1968.923us,5V
1970.583us,0V
1983.690us,0V
1985.350us,5V
1992.522us,5V
1994.182us,0V
2005.020us,0V
2006.680us,5V
2016.253us,5V
2017.913us,0V
2026.350us,0V
2028.010us,5V
2039.943us,5V
2041.603us,0V
2047.680us,0V
2049.340us,5V
2063.423us,5V
2065.083us,0V
2069.010us,0V
2070.670us,5V
2086.542us,5V
2088.202us,0V
2090.340us,0V
2092.000us,5V
2109.169us,5V
2110.829us,0V
2111.670us,0V
2113.330us,5V
2131.214us,5V
2132.874us,0V
2133.000us,0V
2134.660us,5V
2152.625us,5V
2154.285us,0V
2154.330us,0V
2155.990us,5V
2173.395us,5V
2175.055us,0V
2175.660us,0V
2177.320us,5V
2193.566us,5V
2195.226us,0V
2196.990us,0V
2198.650us,5V
2213.220us,5V
2214.880us,0V
2218.320us,0V
2219.980us,5V
2232.476us,5V
2234.136us,0V
2239.650us,0V
2241.310us,5V
2251.483us,5V
2253.143us,0V
2260.980us,0V
2262.640us,5V
2270.406us,5V
2272.066us,0V
2282.310us,0V
2283.970us,5V
2289.418us,5V
2291.078us,0V
2303.640us,0V
2305.300us,5V
2308.684us,5V
2310.344us,0V
2324.970us,0V
2326.630us,5V
2328.352us,5V
2330.012us,0V
2346.300us,0V
2347.960us,5V
2348.539us,5V
2350.199us,0V
2367.630us,0V
2369.290us,5V
2369.329us,5V
2370.989us,0V
2388.960us,0V
2390.620us,5V
2390.758us,5V
2392.418us,0V
2410.290us,0V
2411.950us,5V
2412.821us,5V
2414.481us,0V
2431.620us,0V
2433.280us,5V
2435.465us,5V
2437.125us,0V
2452.950us,0V
2454.610us,5V
2458.596us,5V
2460.256us,0V
2474.280us,0V
2475.940us,5V
2482.085us,5V
2483.745us,0V
2495.610us,0V
2497.270us,5V
2505.778us,5V
2507.438us,0V
2516.940us,0V
2518.600us,5V
2529.507us,5V
2531.167us,0V
2538.270us,0V
2539.930us,5V
2553.101us,5V
2554.761us,0V
2559.600us,0V
2561.260us,5V
2576.396us,5V
2578.056us,0V
2580.930us,0V
2582.590us,5V
2599.254us,5V
2600.914us,0V
2602.260us,0V
2603.920us,5V
2621.565us,5V
2623.225us,0V
2623.590us,0V
2625.250us,5V
2643.259us,5V
2644.919us,0V
2644.920us,0V
2646.580us,5V
2664.309us,5V
2665.969us,0V
2666.250us,0V
2667.910us,5V
2684.737us,5V
2686.397us,0V
2687.580us,0V
2689.240us,5V
2704.606us,5V
2706.266us,0V
2708.910us,0V
2710.570us,5V
2724.021us,5V
2725.681us,0V
2730.240us,0V
2731.900us,5V
2743.118us,5V
2744.778us,0V
2751.570us,0V
2753.230us,5V
2762.057us,5V
2763.717us,0V
2772.900us,0V
2774.560us,5V
2781.009us,5V
2782.669us,0V
2794.230us,0V
2795.890us,5V
2800.144us,5V
2801.804us,0V
2815.560us,0V
2817.220us,5V
2819.617us,5V
2821.277us,0V
2836.890us,0V
2838.550us,5V
2839.563us,5V
2841.223us,0V
2858.220us,0V
2859.880us,5V
2860.079us,5V
2861.739us,0V
2879.550us,0V
2881.210us,5V
2881.225us,5V
2882.885us,0V
2900.880us,0V
2902.540us,5V
2903.012us,5V
2904.672us,0V
2922.210us,0V
2923.870us,5V
